timestamp,station_complex_id,station_complex,passenger_exits
2025-05-05 00:00:00,358,"Newkirk Av-Little Haiti (2,5)",62.3711
2025-05-05 00:00:00,359,"Flatbush Av-Brooklyn College (2,5)",130.7637
2025-05-05 00:00:00,360,Pelham Bay Park (6),23.8587
2025-05-05 00:00:00,361,Buhre Av (6),22.4556
2025-05-05 00:00:00,362,Middletown Rd (6),10.4851
2025-05-05 00:00:00,363,Westchester Sq-E Tremont Av (6),25.8234
2025-05-05 00:00:00,364,Zerega Av (6),20.7832
2025-05-05 00:00:00,365,Castle Hill Av (6),67.2618
2025-05-05 00:00:00,366,Parkchester (6),95.2584
2025-05-05 00:00:00,367,St Lawrence Av (6),47.2109
2025-05-05 00:00:00,368,Morrison Av-Soundview (6),51.0826
2025-05-05 00:00:00,369,Elder Av (6),69.2365
2025-05-05 00:00:00,370,Whitlock Av (6),12.6798
2025-05-05 00:00:00,371,Hunts Point Av (6),68.8879
2025-05-05 00:00:00,372,Longwood Av (6),21.529
2025-05-05 00:00:00,373,E 149 St (6),46.5067
2025-05-05 00:00:00,374,E 143 St-St Mary's St (6),27.0211
2025-05-05 00:00:00,375,Cypress Av (6),19.1186
2025-05-05 00:00:00,376,Brook Av (6),42.0044
2025-05-05 00:00:00,377,3 Av-138 St (6),64.0685
2025-05-05 00:00:00,378,Woodlawn (4),32.9338
2025-05-05 00:00:00,379,Mosholu Pkwy (4),38.8451
2025-05-05 00:00:00,380,Bedford Park Blvd-Lehman College (4),31.7802
2025-05-05 00:00:00,381,Kingsbridge Rd (4),62.6226
2025-05-05 00:00:00,382,Fordham Rd (4),73.3967
2025-05-05 00:00:00,383,183 St (4),55.159
2025-05-05 00:00:00,384,Burnside Av (4),82.4682
2025-05-05 00:00:00,385,176 St (4),47.7052
2025-05-05 00:00:00,386,Mt Eden Av (4),34.5574
2025-05-05 00:00:00,387,170 St (4),57.077
2025-05-05 00:00:00,388,167 St (4),75.2774
2025-05-05 00:00:00,391,"138 St-Grand Concourse (4,5)",23.7271
2025-05-05 00:00:00,392,"125 St (4,5,6)",110.0894
2025-05-05 00:00:00,393,116 St (6),90.2562
2025-05-05 00:00:00,394,110 St (6),69.4642
2025-05-05 00:00:00,395,103 St (6),66.0291
