transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries,passenger_exits,exit_data_available,scheduled_trains,schedule_data_available,hour,day_of_week,is_weekend
2025-05-05 00:00:00,176,Lafayette Av (C),Brooklyn,40.68611,-73.973946,33.0,22.2345,1,,0,0,0,0
2025-05-05 00:00:00,177,Clinton-Washington Avs (C),Brooklyn,40.68326,-73.965836,35.0,28.6661,1,,0,0,0,0
2025-05-05 00:00:00,179,"Nostrand Av (A,C)",Brooklyn,40.68044,-73.950424,65.0,132.0533,1,,0,0,0,0
2025-05-05 00:00:00,180,Kingston-Throop Avs (C),Brooklyn,40.67992,-73.94086,16.0,66.76689999999999,1,,0,0,0,0
2025-05-05 00:00:00,181,"Utica Av (A,C)",Brooklyn,40.679363,-73.93073,53.0,130.0308,1,,0,0,0,0
2025-05-05 00:00:00,182,Ralph Av (C),Brooklyn,40.67882,-73.920784,19.0,42.0587,1,,0,0,0,0
2025-05-05 00:00:00,183,Rockaway Av (C),Brooklyn,40.67834,-73.91195,30.0,58.3574,1,,0,0,0,0
2025-05-05 00:00:00,185,Liberty Av (C),Brooklyn,40.67454,-73.896545,10.0,14.8946,1,,0,0,0,0
2025-05-05 00:00:00,186,Van Siclen Av (C),Brooklyn,40.67271,-73.89036,8.0,22.8222,1,,0,0,0,0
2025-05-05 00:00:00,187,Shepherd Av (C),Brooklyn,40.67413,-73.88075,6.0,20.541,1,,0,0,0,0
2025-05-05 00:00:00,188,"Euclid Av (A,C)",Brooklyn,40.675377,-73.87211,24.0,84.7116,1,,0,0,0,0
2025-05-05 00:00:00,189,Grant Av (A),Brooklyn,40.677044,-73.86505,8.0,54.9739,1,1.0,1,0,0,0
2025-05-05 00:00:00,190,80 St (A),Queens,40.67937,-73.85899,6.0,58.6802,1,1.0,1,0,0,0
2025-05-05 00:00:00,192,Rockaway Blvd (A),Queens,40.680428,-73.84386,32.0,40.4904,1,1.0,1,0,0,0
2025-05-05 00:00:00,193,104 St (A),Queens,40.68171,-73.837685,1.0,16.1518,1,2.0,1,0,0,0
2025-05-05 00:00:00,194,111 St (A),Queens,40.68433,-73.83216,1.0,10.8632,1,1.0,1,0,0,0
2025-05-05 00:00:00,195,Ozone Park-Lefferts Blvd (A),Queens,40.68595,-73.8258,20.0,33.3283,1,1.0,1,0,0,0
2025-05-05 00:00:00,196,Aqueduct Racetrack (A),Queens,40.672096,-73.83592,5.0,5.0081,1,,0,0,0,0
2025-05-05 00:00:00,198,Howard Beach-JFK Airport (A),Queens,40.660477,-73.8303,127.0,47.496,1,,0,0,0,0
2025-05-05 00:00:00,210,Norwood-205 St (D),Bronx,40.87481,-73.87885,9.0,60.9432,1,3.0,1,0,0,0
2025-05-05 00:00:00,211,"Bedford Park Blvd (B,D)",Bronx,40.873245,-73.88714,15.0,41.3345,1,3.0,1,0,0,0
2025-05-05 00:00:00,212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.89351,12.0,59.1314,1,3.0,1,0,0,0
2025-05-05 00:00:00,213,"Fordham Rd (B,D)",Bronx,40.861298,-73.89775,18.0,88.6411,1,3.0,1,0,0,0
2025-05-05 00:00:00,214,"182-183 Sts (B,D)",Bronx,40.856094,-73.90074,7.0,53.9658,1,3.0,1,0,0,0
2025-05-05 00:00:00,215,"Tremont Av (B,D)",Bronx,40.85041,-73.90523,12.0,71.9757,1,3.0,1,0,0,0
2025-05-05 00:00:00,216,"174-175 Sts (B,D)",Bronx,40.8459,-73.91013,6.0,34.6035,1,3.0,1,0,0,0
2025-05-05 00:00:00,217,"170 St (B,D)",Bronx,40.839306,-73.9134,6.0,60.0106,1,3.0,1,0,0,0
2025-05-05 00:00:00,218,"167 St (B,D)",Bronx,40.83377,-73.91844,20.0,85.524,1,2.0,1,0,0,0
2025-05-05 00:00:00,220,"155 St (B,D)",Manhattan,40.830135,-73.93821,7.0,11.7373,1,2.0,1,0,0,0
2025-05-05 00:00:00,221,21 St-Queensbridge (M),Queens,40.754204,-73.94283,59.0,102.0581,1,2.0,1,0,0,0
