transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-05-05 06:00:00,subway,175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,omny,OMNY - Seniors & Disability,1.0,0.0,40.688484,-73.985
2025-05-05 06:00:00,subway,212,"Kingsbridge Rd (B,D)",Bronx,omny,OMNY - Fair Fare,2.0,0.0,40.866978,-73.89351
2025-05-05 06:00:00,subway,228,"23 St (F,M)",Manhattan,metrocard,Metrocard - Fair Fare,2.0,0.0,40.742878,-73.99282
2025-05-05 06:00:00,subway,242,"Fort Hamilton Pkwy (F,G)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,18.0,0.0,40.650784,-73.97578
2025-05-05 06:00:00,subway,26,"DeKalb Av (B,Q,R)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,30.0,0.0,40.690636,-73.98183
2025-05-05 06:00:00,subway,272,"36 St (M,R)",Queens,metrocard,Metrocard - Fair Fare,1.0,0.0,40.75204,-73.92878
2025-05-05 06:00:00,subway,297,215 St (1),Manhattan,metrocard,Metrocard - Other,2.0,0.0,40.869446,-73.915276
2025-05-05 06:00:00,subway,301,181 St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,7.0,2.0,40.849506,-73.93359
2025-05-05 06:00:00,subway,303,157 St (1),Manhattan,omny,OMNY - Full Fare,225.0,10.0,40.83404,-73.94489
2025-05-05 06:00:00,subway,365,Castle Hill Av (6),Bronx,metrocard,Metrocard - Unlimited 30-Day,25.0,0.0,40.834255,-73.85122
2025-05-05 06:00:00,subway,48,Avenue H (Q),Brooklyn,omny,OMNY - Seniors & Disability,7.0,0.0,40.62927,-73.96164
2025-05-05 06:00:00,subway,49,Avenue J (Q),Brooklyn,omny,OMNY - Fair Fare,4.0,1.0,40.62504,-73.9608
2025-05-05 06:00:00,subway,54,"Sheepshead Bay (B,Q)",Brooklyn,metrocard,Metrocard - Seniors & Disability,26.0,9.0,40.586895,-73.954155
2025-05-05 06:00:00,subway,57,"W 8 St-NY Aquarium (F,Q)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,15.0,0.0,40.576126,-73.97594
2025-05-05 06:00:00,subway,61,50 St (D),Brooklyn,omny,OMNY - Seniors & Disability,2.0,0.0,40.63626,-73.99479
2025-05-05 06:00:00,subway,612,"Lexington Av/51-53 Sts (6,E,F)",Manhattan,omny,OMNY - Fair Fare,2.0,0.0,40.757328,-73.97049
2025-05-05 06:00:00,subway,612,"Lexington Av/51-53 Sts (6,E,F)",Manhattan,omny,OMNY - Other,1.0,0.0,40.757328,-73.97049
2025-05-05 06:00:00,subway,615,"62 St/New Utrecht Av (D,N)",Brooklyn,metrocard,Metrocard - Other,8.0,0.0,40.625656,-73.99663
2025-05-05 06:00:00,subway,628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,23.0,0.0,40.71009,-74.007835
2025-05-05 06:00:00,subway,636,"Jay St-MetroTech (A,C,F,R)",Brooklyn,omny,OMNY - Seniors & Disability,13.0,7.0,40.69226,-73.98664
2025-05-05 06:00:00,subway,68,Bay Pkwy (D),Brooklyn,metrocard,Metrocard - Fair Fare,26.0,2.0,40.601875,-73.99373
2025-05-05 06:00:00,subway,74,18 Av (N),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,32.0,0.0,40.62067,-73.99042
2025-05-05 06:00:00,subway,8,"5 Av/59 St (N,R,W)",Manhattan,metrocard,Metrocard - Seniors & Disability,1.0,1.0,40.764812,-73.97335
