transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries
2025-05-05 00:00:00,282,21 St (G),Queens,40.744064,-73.94972,4.0
2025-05-05 00:00:00,283,Greenpoint Av (G),Brooklyn,40.731354,-73.95445,27.0
2025-05-05 00:00:00,284,Nassau Av (G),Brooklyn,40.724636,-73.95128,40.0
2025-05-05 00:00:00,286,Broadway (G),Brooklyn,40.706093,-73.95031,12.0
2025-05-05 00:00:00,287,Flushing Av (G),Brooklyn,40.70038,-73.95023,14.0
2025-05-05 00:00:00,288,Myrtle-Willoughby Avs (G),Brooklyn,40.69457,-73.94904,8.0
2025-05-05 00:00:00,289,Bedford-Nostrand Avs (G),Brooklyn,40.68963,-73.95352,21.0
2025-05-05 00:00:00,290,Classon Av (G),Brooklyn,40.688873,-73.96007,5.0
2025-05-05 00:00:00,291,Clinton-Washington Avs (G),Brooklyn,40.688087,-73.96684,8.0
2025-05-05 00:00:00,292,Fulton St (G),Brooklyn,40.68712,-73.97537,11.0
2025-05-05 00:00:00,293,Van Cortlandt Park-242 St (1),Bronx,40.889248,-73.89858,12.0
2025-05-05 00:00:00,294,238 St (1),Bronx,40.884666,-73.90087,6.0
2025-05-05 00:00:00,295,231 St (1),Bronx,40.878857,-73.90483,9.0
2025-05-05 00:00:00,296,Marble Hill-225 St (1),Manhattan,40.87456,-73.90983,6.0
2025-05-05 00:00:00,297,215 St (1),Manhattan,40.869446,-73.915276,5.0
2025-05-05 00:00:00,298,207 St (1),Manhattan,40.86462,-73.91882,31.0
2025-05-05 00:00:00,299,Dyckman St (1),Manhattan,40.86053,-73.92554,17.0
2025-05-05 00:00:00,300,191 St (1),Manhattan,40.855225,-73.92941,16.0
2025-05-05 00:00:00,301,181 St (1),Manhattan,40.849506,-73.93359,27.0
2025-05-05 00:00:00,303,157 St (1),Manhattan,40.83404,-73.94489,22.0
2025-05-05 00:00:00,304,145 St (1),Manhattan,40.82655,-73.95036,15.0
2025-05-05 00:00:00,305,137 St-City College (1),Manhattan,40.822006,-73.953674,14.0
2025-05-05 00:00:00,306,125 St (1),Manhattan,40.815582,-73.958374,37.0
2025-05-05 00:00:00,307,116 St-Columbia University (1),Manhattan,40.80772,-73.96411,73.0
2025-05-05 00:00:00,308,Cathedral Pkwy (110 St) (1),Manhattan,40.803967,-73.96685,43.0
2025-05-05 00:00:00,309,103 St (1),Manhattan,40.799446,-73.968376,36.0
2025-05-05 00:00:00,310,"96 St (1,2,3)",Manhattan,40.79392,-73.97232,144.0
2025-05-05 00:00:00,311,86 St (1),Manhattan,40.788643,-73.97622,97.0
2025-05-05 00:00:00,312,79 St (1),Manhattan,40.783936,-73.97992,35.0
2025-05-05 00:00:00,313,"72 St (1,2,3)",Manhattan,40.778454,-73.98197,149.0
2025-05-05 00:00:00,314,66 St-Lincoln Center (1),Manhattan,40.77344,-73.98221,113.0
2025-05-05 00:00:00,316,50 St (1),Manhattan,40.761726,-73.98385,199.0
2025-05-05 00:00:00,318,"34 St-Penn Station (1,2,3)",Manhattan,40.750374,-73.99106,367.0
2025-05-05 00:00:00,319,28 St (1),Manhattan,40.747215,-73.99336,47.0
2025-05-05 00:00:00,320,23 St (1),Manhattan,40.74408,-73.99566,61.0
2025-05-05 00:00:00,321,18 St (1),Manhattan,40.74104,-73.99787,22.0
2025-05-05 00:00:00,323,Christopher St-Stonewall (1),Manhattan,40.73342,-74.00291,158.0
2025-05-05 00:00:00,324,Houston St (1),Manhattan,40.728252,-74.00536,61.0
