stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"20296","Bendigo Station","-36.76560312","144.28285447","https://transport.vic.gov.au/stop/1509/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BGO","1","Level 0"
"20297","Birregurra Station","-38.32880781","143.78362521","https://transport.vic.gov.au/stop/1510/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BGE","1","Level 0"
"20298","Broadford Station","-37.20731649","145.04293730","https://transport.vic.gov.au/stop/1511/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BRF","1","Level 0"
"20299","Bunyip Station","-38.09910771","145.72075749","https://transport.vic.gov.au/stop/1512/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BYP","1","Level 0"
"20300","Camperdown Station","-38.22890091","143.15092780","https://transport.vic.gov.au/stop/1513/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CPD","1","Level 0"
"20301","Castlemaine Station","-37.06288590","144.21394343","https://transport.vic.gov.au/stop/1514/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CME","1","Level 0"
"20302","Chiltern Station","-36.15563663","146.61137475","https://transport.vic.gov.au/stop/1515/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CHI","1","Level 0"
"20303","Clarkefield Station","-37.48355944","144.74530293","https://transport.vic.gov.au/stop/1516/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CKF","1","Level 0"
"20304","Colac Station","-38.34337792","143.58665305","https://transport.vic.gov.au/stop/1517/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:COL","1","Level 0"
"20305","Corio Station","-38.07283126","144.37976842","https://transport.vic.gov.au/stop/1518/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:COR","1","Level 0"
"20306","Dingee Station","-36.36923291","144.23112034","https://transport.vic.gov.au/stop/1519/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:DGE","1","Level 0"
"20307","Donnybrook Station","-37.54202630","144.97012439","https://transport.vic.gov.au/stop/1520/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:DBK","1","Level 0"
"20308","Drouin Station","-38.13637147","145.85601665","https://transport.vic.gov.au/stop/1521/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:DRN","1","Level 0"
"20309","Eaglehawk Station","-36.71852539","144.24837990","https://transport.vic.gov.au/stop/1522/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:EHK","1","Level 0"
"20310","Echuca Station","-36.13104300","144.75333471","https://transport.vic.gov.au/stop/1523/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ECH","1","Level 0"
"20311","Elmore Station","-36.49483741","144.60764035","https://transport.vic.gov.au/stop/1524/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:EME","1","Level 0"
"20312","Euroa Station","-36.74913060","145.56808862","https://transport.vic.gov.au/stop/1525/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:EOA","1","Level 0"
"20313","Garfield Station","-38.09103062","145.67422472","https://transport.vic.gov.au/stop/1526/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:GFD","1","Level 0"
"20314","Geelong Station","-38.14424211","144.35498911","https://transport.vic.gov.au/stop/1527/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:GEL","1","Level 0"
"20315","Gisborne Station","-37.45900212","144.59898723","https://transport.vic.gov.au/stop/1528/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:GIS","1","Level 0"
"20316","Heathcote Junction Station","-37.37166409","145.02794651","https://transport.vic.gov.au/stop/1529/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:HCJ","1","Level 0"
"20317","Kangaroo Flat Station","-36.79483286","144.24895657","https://transport.vic.gov.au/stop/1530/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:KFT","1","Level 0"
"20318","Kerang Station","-35.73312162","143.92442509","https://transport.vic.gov.au/stop/1531/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:KER","1","Level 0"
